Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Identifikatoren,,,,
Werknummer,Titel,ISWC,ISRC,Verlagswerknummern
858878-001,INTRADE,T8018803414,,
977656-001,VORSPIEL D-MOLL,T8020973212,,
977660-001,VORSPIEL E-DUR,T8020973096,,
977662-001,PRAELUDIUM E-MOLL,T8020973030,,
977669-001,LENTO G-DUR,T8020972811,,
977683-001,INTERMEZZO A-MOLL,T8020972571,,
977685-001,VORSPIEL H-MOLL,T8020972537,,
1218027-003,GOTTES GEIST IN DIESER ZEIT,T8032453912,,
1474492-004,"O HERR, NIMM UNSRE SCHULD GL 168",T8024330857,,
1563478-001,WENN MEIN STUENDLEIN VORHANDEN IST,T8001575801,,
1563512-001,"CHRISTE, DU BIST DER HELLE TAG",T8001574364,,
2071563-002,"HORCH, WIE DIE SCHAR DER ENGEL SINGT",T8002794448,,
2071564-002,EINE GROSSE FREUD VERKUEND ICH EUCH,T8002794415,,
2245730-001,MESSE,T8007901341,,
2816644-001,NEUENDETTELSAUER INTRADE,T8010811334,,
2944286-001,ALS DIE WELT VERLOREN,T8014837061,,
2944289-001,DAS IST KOESTLICH,T8014836988,,
2944291-001,DEIN KOENIG KOMMT,T8014836808,,
2944293-001,"ER IST ERSTANDEN, HALLELUJA",T8014836784,,
2944295-001,GOTT SEI DANK DURCH ALLE WELT,T8014836524,,
3259498-001,VALET WILL ICH DIR GEBEN EG 523,T8007533258,,
3259500-001,WENN MEIN STUENDLEIN VORHANDEN IST EG 522,T8007533203,,
3259501-001,WIR PFLUEGEN UND WIR STREUEN EG 508,T8007533178,,
3259502-001,"HIMMEL, ERDE, LUFT UND MEER EG 504",T8007533087,,
3259504-001,DU HOECHSTES LICHT EG 441,T8007533043,,
3259505-001,WENN WIR IN HOECHSTEN NOETEN SEIN EG 366,T8007533010,,
4338475-001,INTROITUS-PSALM 23,T8009710753,,
4346458-001,WINDSBACHER PSALMEN,T8008058581,,
4346460-001,WINDSBACHER PSALMEN,T8008058547,,
4365391-002,ERSTANDEN IST DER HEILIGE CHRIST,T8010315933,,
4365402-002,IM FRIEDEN DEIN,T8010315819,,
4365403-001,"KOMM, HEILGER GEIST, MIT DEINER KRAFT",T8021939163,,
4365406-001,"KOMM ZU UNS, HEILGER GEIST",T8021939152,,
4365407-002,"MUEDE BIN ICH, GEH ZUR RUH",T8010315740,,
4365409-001,STILLE NACHT,T8008172246,,
4365417-002,TRAUNSTEINER ORGELBUCH,T8010315717,,
4365418-001,NORWEGISCHE INTRADE,T8008172199,,
