Werkinformationen,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Besetzung,Unnamed: 17,Beteiligte,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Vertritt,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Werknummer,Titel,Registrierstatus,Freie Vereinbarung,Verbundene Schutzfrist,ISWC,ISRC,Verlagswerknummern,Erstmals geladen,Letzte Aktualisierung,Sprache,Gattung,Dauer,AR streitig,VR streitig,Weitere Titel,Besetzung,Interpretinnen / Interpreten,Name,IP-Name-Nr.,Rolle,Reihenfolge Verlagsrollen,Urheber/-in-Verlagsbeziehung,AR-Anteil Detailansicht,VR-Anteil Detailansicht,AR-Anteil (kumuliert),VR-Anteil (kumuliert),Gesellschaft AR,Gesellschaft VR,AR streitig,VR streitig,Name,IP-Name-Nr.,Rolle,Schedule Number,Vereinbarungsnummer
858878-001,INTRADE,1,Nein,Nein,T8018803414,,,13.10.2002,25.05.2024,,,00:01:30,-,-,,"BLAESERENSEMBLE (Anzahl Instrumente 1, Anzahl Spieler/-innen 4, Anzahl Stimmen 4)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
858878-001,INTRADE,1,Nein,Nein,T8018803414,,,13.10.2002,25.05.2024,,,00:01:30,-,-,,"BLAESERENSEMBLE (Anzahl Instrumente 1, Anzahl Spieler/-innen 4, Anzahl Stimmen 4)",,MERSEBURGER BERLIN VERLAG GMBH,20574120,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
977656-001,VORSPIEL D-MOLL,1,Nein,Nein,T8020973212,,,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
977656-001,VORSPIEL D-MOLL,1,Nein,Nein,T8020973212,,,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,MERSEBURGER BERLIN VERLAG GMBH,20574120,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
977660-001,VORSPIEL E-DUR,1,Nein,Nein,T8020973096,,,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
977660-001,VORSPIEL E-DUR,1,Nein,Nein,T8020973096,,,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,MERSEBURGER BERLIN VERLAG GMBH,20574120,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
977662-001,PRAELUDIUM E-MOLL,1,Nein,Nein,T8020973030,,,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
977662-001,PRAELUDIUM E-MOLL,1,Nein,Nein,T8020973030,,,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,MERSEBURGER BERLIN VERLAG GMBH,20574120,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
977669-001,LENTO G-DUR,1,Nein,Nein,T8020972811,,,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
